day;mnth;year;season;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;rentals
1;1;2011;1;0;6;0;2;344167;363625;805833;160446;331
2;1;2011;1;0;0;0;2;363478;353739;696087;248539;131
3;1;2011;1;0;1;1;1;196364;189405;437273;248309;120
4;1;2011;1;0;2;1;1;2;212122;590435;160296;108
5;1;2011;1;0;3;1;1;226957;22927;436957;1869;82
6;1;2011;1;0;4;1;1;204348;233209;518261;895652;88
7;1;2011;1;0;5;1;2;196522;208839;498696;168726;148
8;1;2011;1;0;6;0;2;165;162254;535833;266804;68
9;1;2011;1;0;0;0;1;138333;116175;434167;36195;54
10;1;2011;1;0;1;1;1;150833;150888;482917;223267;41
11;1;2011;1;0;2;1;2;169091;191464;686364;122132;43
12;1;2011;1;0;3;1;1;172727;160473;599545;304627;25
13;1;2011;1;0;4;1;1;165;150883;470417;301;38
14;1;2011;1;0;5;1;1;16087;188413;537826;126548;54
15;1;2011;1;0;6;0;2;233333;248112;49875;157963;222
16;1;2011;1;0;0;0;1;231667;234217;48375;188433;251
17;1;2011;1;1;1;0;2;175833;176771;5375;194017;117
18;1;2011;1;0;2;1;2;216667;232333;861667;146775;9
19;1;2011;1;0;3;1;2;292174;298422;741739;208317;78
20;1;2011;1;0;4;1;2;261667;25505;538333;195904;83
21;1;2011;1;0;5;1;1;1775;157833;457083;353242;75
22;1;2011;1;0;6;0;1;591304;790696;4;17197;93
23;1;2011;1;0;0;0;1;965217;988391;436522;2466;150
24;1;2011;1;0;1;1;1;973913;11793;491739;15833;86
25;1;2011;1;0;2;1;2;223478;234526;616957;129796;186
26;1;2011;1;0;3;1;3;2175;2036;8625;29385;34
27;1;2011;1;0;4;1;1;195;2197;6875;113837;15
28;1;2011;1;0;5;1;2;203478;223317;793043;1233;38
29;1;2011;1;0;6;0;1;196522;212126;651739;145365;123
30;1;2011;1;0;0;0;1;216522;250322;722174;739826;140
31;1;2011;1;0;1;1;2;180833;18625;60375;187192;42
1;2;2011;1;0;2;1;2;192174;23453;829565;53213;47
2;2;2011;1;0;3;1;2;26;254417;775417;264308;72
3;2;2011;1;0;4;1;1;186957;177878;437826;277752;61
4;2;2011;1;0;5;1;2;211304;228587;585217;127839;88
5;2;2011;1;0;6;0;2;233333;243058;929167;161079;100
6;2;2011;1;0;0;0;1;285833;291671;568333;1418;354
7;2;2011;1;0;1;1;1;271667;303658;738333;454083;120
8;2;2011;1;0;2;1;1;220833;198246;537917;36195;64
9;2;2011;1;0;3;1;2;134783;144283;494783;188839;53
10;2;2011;1;0;4;1;1;144348;149548;437391;221935;47
11;2;2011;1;0;5;1;1;189091;213509;506364;10855;149
